title	score	num_comm	created	content	sources
Sir Jim Ratcliffe, UK's richest person, moves to tax-free Monaco - Ratcliffe, the founder and chief executive of petrochemicals company Ineos, was an ardent supporter of the vote leave campaign, declaring that the UK would thrive without red tape from Brussels.	51261	2538	2020-09-25 22:52:22	None	None
Canada reintroduces bill to ban LGBT+ conversion therapy	50393	1699	2020-10-03 05:13:53	None	None
New Zealand Prime Minister Jacinda Ardern appears headed for big election win and 2nd term in early vote counting	49577	2013	2020-10-17 11:48:44	None	None
Trump less trusted across advanced economies than China's President Xi	49484	3008	2020-10-12 05:33:06	None	None
PM Trudeau, other leaders condemn white supremacy in wake of Trump's refusal to do so	49358	2962	2020-10-01 21:55:07	None	None
Liberal Democrats are today set to become the first major national party to commit to a universal basic income for all UK residents.	49355	2161	2020-09-26 14:26:01	None	None
Locals warn derelict barge 'Nabarima' about to spill 55 million gallons of oil and no one is helping	49377	2369	2020-10-18 02:40:01	None	None
Billionaires' wealth rises to $10.2 trillion amid Covid crisis	49327	5216	2020-10-07 09:21:40	None	None
‘Justice for Joyce’: Family of Indigenous woman who died in Quebec hospital announces lawsuit	49308	1476	2020-10-03 17:28:28	None	None
Egypt police ‘using dating apps’ to find and imprison LGBT+ people	48858	2688	2020-10-02 11:17:09	None	None
Conservatives turn on Boris Johnson over handling of UK’s Covid-19 crisis	48076	2181	2020-10-04 09:18:55	None	None
‘A Cancer’: Former Australian Prime Minister, Kevin Rudd Calls for Royal Commission Into ‘Murdoch monopoly’	47556	917	2020-10-11 15:42:31	None	None
Spain's Supreme Court rules food delivery riders are employees, not freelancers	45889	2618	2020-09-28 17:08:56	None	None
‘Huge stupid Americanism’: Italian governor rails against Halloween as he imposes 31 October curfew	45758	4181	2020-10-17 16:02:15	None	None
100,000 march in Belarus capital on 50th day of protests	45652	722	2020-09-27 22:18:09	None	None
Chilean police throw boy, 16, off bridge during protests | Chile	45373	1160	2020-10-03 21:58:30	None	None
"Study Warns Radicalized Right-Wingers Uniting Online—Many Inspired by Trump—Threaten Australian Democracy | The researchers urge Australian leaders to safeguard the nation's political system ""from these very insidious and ongoing threats."""	44660	3222	2020-10-10 16:37:19	None	None
A Uighur Woman Who Was At Risk Of Being Forcibly Sent Back To China And Detained Has Arrived Safely In The US	43733	2305	2020-09-28 16:04:36	None	None
Boris Johnson is reported to have offered jobs at the head of two of Britain’s most important media organisations to two outspoken critics of the BBC. The provocative choice of two such hardline anti-BBC voices has prompted anger and dismay across the broadcasting and entertainment industry.	43616	2162	2020-09-27 14:32:17	None	None
Man sets himself on fire on Putin's birthday in Russia's 2nd self-immolation in a week	43596	1279	2020-10-08 23:18:48	None	None
Boris Johnson's Government accused of ‘beyond laughable’ hypocrisy for launching campaign urging other countries to obey rule of law	42460	1519	2020-09-29 12:44:08	None	None
"'Democracy Has Won': Year After Right-Wing Coup Against Evo Morales, Socialist Luis Arce Declares Victory in Bolivia Election | ""Brothers and sisters: the will of the people has been asserted,"" Morales declared from exile in Argentina."	42391	4908	2020-10-19 14:51:33	None	None
Former Australian Prime Minister Kevin Rudd launches petition calling for a Royal Commission into the Rupert Murdoch Newscorp media monopoly	42315	1128	2020-10-10 06:49:14	None	None
Air pollution killed nearly a half-million newborns last year, study says	45928	1441	2020-10-21 23:57:28	None	None
"Letting COVID-19 spread to achieve herd immunity is ""unethical,"" WHO chief says"	41754	3069	2020-10-12 22:10:34	None	None
Man decapitated near Paris and anti-terror probe launched, prosecutors say	41363	6946	2020-10-16 21:06:46	None	None
New Zealand Stamps Out the Virus. For a Second Time.	40489	2842	2020-10-09 03:16:29	None	None
"Paris could be put on ""maximum alert,"" lockdown as ICU bed occupancy hits critical level"	39971	1544	2020-10-03 00:13:34	None	None
Trump cuts aid for pro-democracy groups in Belarus, Hong Kong and Iran	39962	2799	2020-09-25 00:59:45	None	None
Exxon’s Plan for Surging Carbon Emissions Revealed in Leaked Documents - Exxon has been planning to increase annual carbon-dioxide emissions by as much as the output of the entire nation of Greece	39728	1470	2020-10-05 19:22:47	None	None
Paris to shut bars and raise alert to maximum	39589	1784	2020-10-05 03:03:08	None	None
90 percent of coronavirus patients experience side effects after recovery, study finds	38938	2654	2020-09-30 07:55:19	None	None
2020 Nobel Peace Prize awarded to the World Food Programme	38929	1368	2020-10-09 13:02:37	None	None
Geneva Voters Agree to $25 Minimum Hourly Wage	38379	3139	2020-09-27 18:15:13	None	None
Solar is now ‘cheapest electricity in history’, confirms IEA	37973	1988	2020-10-13 13:30:02	None	None
Prince Harry urges US citizens to 'reject hate speech' and vote	37260	3257	2020-09-23 17:06:35	None	None
Pope Francis calls for civil union law for same-sex couples, in shift from Vatican stance	37427	2399	2020-10-21 17:39:05	None	None
Putin sends Trump a telegram to wish him speedy recovery from COVID-19: agencies cite Kremlin (Reuters)	36510	1930	2020-10-02 13:45:05	None	None
Netherlands legalizes child euthanasia despite opposition from Christian parties	36081	3547	2020-10-15 06:28:05	None	None
The UK is telling ministers to cozy up to the Biden camp, as Boris Johnson is 'writing off Trump' in the upcoming US election	35992	2191	2020-10-11 20:13:36	None	None
Boris Johnson overruled scientists who told him to introduce a lockdown three weeks ago, while ignoring warnings that his plans won't stop the coronavirus	35064	1552	2020-10-13 18:41:54	None	None
Armenia launches missile attacks on Azerbaijan's Ganja	33768	4624	2020-10-17 02:31:45	None	None
Russian Intelligence Connected Bank Deposited $330 Million Into Deutsche Bank America	33722	1003	2020-10-01 23:40:21	None	None
EU rejects Alexander Lukashenko Belarus leader's inauguration	33692	1177	2020-09-24 14:24:02	None	None
Lawyer repeatedly mistaken for a defendant calls for compulsory anti-racism training	33285	1654	2020-09-26 16:57:08	None	None
Pandemic 'Heroes' Pay the Price as Hospitals Cut Registered Nurses to Balance Budgets	32863	1691	2020-09-23 15:18:43	None	None
Trudeau admits US heading for post-election “disturbances,” but won’t condemn Trump	32344	1786	2020-10-12 02:00:14	None	None
29 million girls, women victims of modern slavery: report	32084	1381	2020-10-10 17:56:17	None	None
For 10 days, Mars will shine the brightest it has since 2003	32075	624	2020-10-04 23:50:39	None	None
France to ban use of wild animals in circuses, marine parks	31786	632	2020-09-29 14:59:44	None	None
Electric cars have reached 61.5% market share in Norway followed by hybrids that make up another 27.4%	31209	1232	2020-10-08 00:22:26	None	None
Cruise ships dismantled for scrap metal as pandemic sinks industry	30086	1756	2020-10-11 17:33:34	None	None
World leaders urged to ban all trade in wild animals and birds for eating to prevent pandemics	30038	1268	2020-09-29 02:17:27	None	None
Greece: Leader of neo-Nazi Golden Dawn group jailed for 13 years	29478	860	2020-10-15 15:44:13	None	None
Support for Scottish independence soars in new poll	28169	2760	2020-10-16 15:33:18	None	None
Indigenous woman records slurs by hospital staff before her death | Two women at Joliette hospital are heard calling her stupid and saying she's only good for sex and would be better off dead.	27954	2012	2020-09-30 23:28:43	None	None
Berlin gives middle finger to anti-maskers in tourism agency ad	27841	700	2020-10-14 18:24:43	None	None
Spain seeks law change to allow 16- and 17-year-olds to abort without parental consent	27120	1021	2020-10-08 14:03:35	None	None
Women charged police lines and threw Molotov cocktails at officers in Mexico City during protests demanding the legalization of abortion in the majority Roman Catholic country. The protesters, clad in the green bandanas that have become the symbol of the pro-choice movement in Latin America	27003	1434	2020-09-29 22:49:23	None	None
Indian opposition leaders arrested when they tried to visit the family of woman who was raped and had her body cremated by police at night against their wishes.	26405	1104	2020-10-04 14:18:27	None	None
Revealed: BP And Shell Back Anti-Climate Lobby Groups Despite Pledges	26355	527	2020-09-29 16:41:52	None	None
It is being described as one of the biggest attacks on art and antiquities in post-war German history, but it has taken more than two weeks to emerge. At least 70 artefacts were sprayed with an oily liquid on Berlin's Museum Island, a Unesco world heritage site that is home to five famous museums.	26047	1669	2020-10-21 14:29:17	None	None
Germany to give $664M in aid to Holocaust survivors amid economic uncertainty	25238	2622	2020-10-15 04:21:31	None	None
'Kid influencers' classed as child labour under new French law	24131	566	2020-10-08 17:27:33	None	None
Gay men in Russia with surrogate children warned they face arrest: LGBT+ community draws breath as state investigators equate single fathers to baby traffickers	24092	756	2020-10-02 16:31:16	None	None
UN Warns that World Risks Becoming ‘Uninhabitable Hell’	22912	2589	2020-10-13 15:41:16	None	None
Coronavirus vaccination to be given for free in Japan	22854	986	2020-10-03 14:16:59	None	None
'Immediately stop': China's warning to US after destroyer stand-off in disputed waters	22670	3225	2020-10-14 03:48:57	None	None
Another universe existed before ours – and energy from it is coming out of black holes, says Nobel Prize winner	22328	1891	2020-10-08 22:44:35	None	None
NATO would seek early summit with Biden, if elected, envoys say	21785	1824	2020-10-20 13:37:10	None	None
Cambodia: Rat given gold medal for 'lifesaving bravery and devotion to duty' for discovering 39 landmines and clearing more than 141,000 square meters of land	21200	344	2020-09-25 18:56:57	None	None
Australia says world needs to know origins of COVID-19	20762	1909	2020-09-26 04:41:26	None	None
"Iran says Trump is no ""tough guy"" after he told country not to ""f**k with us"""	20764	1237	2020-10-10 16:44:50	None	None
Trudeau says any approved COVID-19 vaccine will be free for all Canadians	20478	912	2020-10-08 14:49:23	None	None
Far-right German politician sacked for reportedly suggesting migrants could be killed: German media reported that Lueth told a young blogger in Feb that the worse off Germany is, the better it would be for his party, and that migrants coming to the country “could still be shot later on … or gassed”.	19324	1340	2020-09-29 15:36:46	None	None
Prime Minister Jacinda Ardern wins NZ election by a landslide	19156	1328	2020-10-17 13:19:19	None	None
German chancellor hopeful says Trump win risks transatlantic collapse	19144	1526	2020-09-29 05:29:51	None	None
Houthi court sentences Trump, King Salman and Saudi crown prince to death	18825	1302	2020-10-04 18:02:18	None	None
Canada's last intact ice shelf broke off. It took our research station with it	18528	1082	2020-10-14 12:57:18	None	None
Covid-19 Zero new cases today; No-one in hospital with virus - New Zealand	18063	822	2020-10-12 04:28:21	None	None
Hospital Beds Filling, Bars Closing With Nearly All European Countries At Critical Coronavirus Threshold	17931	1431	2020-10-08 03:10:02	None	None
ISIS attacks surge even as Trump boasts of a ‘100%’ defeated caliphate	17862	932	2020-10-19 03:59:28	None	None
Greek neo-Nazi party Golden Dawn was run as criminal group, court rules after landmark case	17691	785	2020-10-07 15:58:56	None	None
New Trump golf course provokes fury in Scotland	17355	913	2020-10-17 23:48:30	None	None
The state of Victoria, Australia went from over 700 new COVID cases per day to recording zero new cases in the last 24hours, thanks to a hard Stage 4 lockdown and mandatory mask-wearing	17226	1364	2020-10-20 06:04:52	None	None
Putin’s Troll Farm Busted Running Sprawling Network of Facebook Pages — The Russian operation used Facebook to find and recruit authentic, unwitting people to help hype their propaganda, many of them journalists.	17164	733	2020-09-25 15:02:52	None	None
Poisoned Russian opposition leader Alexei Navalny says Putin's regime has 'gone insane'	17086	530	2020-10-07 21:27:49	None	None
‘Unacceptable’ bacteria levels found on US meat may fuel fears over UK trade deal	16726	1367	2020-10-12 03:49:17	None	None
Chinese kindergarten teacher sentenced to death for poisoning 25 students with nitrite-laced porridge	16400	966	2020-09-29 12:43:59	None	None
German airport workers refuse to service Belarus dictator Lukashenko’s plane	16208	460	2020-10-16 00:43:20	None	None
Germany calls for Russian sanctions after alleged poisoning of opposition leader	15891	471	2020-10-03 18:11:58	None	None
Pope removes Polish bishop accused of sex abuse cover-up	15828	593	2020-10-17 18:10:15	None	None
Sweden shifts away from no-lockdown strategy amid growing case numbers	15432	1788	2020-10-18 18:58:11	None	None
An eyewitness tells BBC that #EndSARS police brutality protesters were kneeling in surrender when security forces fired on them in Lagos, Nigeria. Eyewitness says he counted 20 bodies on the ground after security forces opened fire.	15436	533	2020-10-21 14:30:51	None	None
Climate activist Greta Thunberg joins campaign to release Hong Kong fugitives detained in China	15186	1355	2020-10-19 10:17:01	None	None
Anger sparks as Tokyo politician claims “legally protecting lesbians and gays will ruin district.”	15075	717	2020-10-11 18:33:58	None	None
Block China’s seat on human rights council over Uighurs, urges Lisa Nandy	14796	448	2020-10-10 21:20:03	None	None
Russia Seizes Kremlin Critic Navalny’s Apartment - The Moscow Times	14772	505	2020-09-24 18:51:16	None	None
Facebook bans all QAnon groups as dangerous amid surging misinformation	14512	1098	2020-10-07 01:17:51	None	None
Close to 100% accuracy: Helsinki airport uses sniffer dogs to detect Covid	14360	382	2020-09-24 15:43:04	None	None
Missing Hong Kong protester Alexandra Wong 'was held in mainland China'	14371	356	2020-10-17 18:52:17	None	None
Mass Sea Animal Deaths Raise Alarms For Possible Ecological Catastrophe in Russia	14117	519	2020-10-05 22:25:52	None	None
"China tells Indian media not to call Taiwan a country, Taiwan says ""get lost"""	13978	972	2020-10-08 14:53:42	None	None
Canada's bill to outlaw LGBTQ2 conversion therapy has global influence: UN expert	18101	916	2020-10-22 01:26:17	None	None
Trudeau pledges tax on 'extreme wealth inequality' to fund Covid spending plan	13672	702	2020-09-24 03:45:21	None	None
Sri Lanka returns containers of illegal waste to Britain: Customs	13582	397	2020-09-27 19:09:44	None	None
Trump tweet gave Taliban upper hand in negotiations: Afghan peace official tells Financial Times	13420	618	2020-10-15 17:28:13	None	None
Palestinian premier: 'God help us' if Trump wins re-election	13251	1649	2020-10-13 20:38:27	None	None
Olympian gymnast reportedly rumored to have had twins with Putin vanishes	13185	478	2020-10-08 15:05:23	None	None
Anonymous hacks 83 websites belonging to Azerbaijani government in support of Armenia	12914	610	2020-10-03 20:19:31	None	None
80 million gallons of oil, larger than Exxon spill, dangerously close to pouring into Caribbean	12772	686	2020-10-19 10:53:32	None	None
18,000 elderly people have died of COVID-19 in British care homes and now Boris Johnson's government is being accused of human rights abuse	12628	321	2020-10-11 18:22:46	None	None
Golden Dawn leadership sentenced to 13 years in prison	12594	527	2020-10-14 15:01:17	None	None
Trudeau says government is braced for 'disruptions' in event of unclear U.S. election result | CBC News	12296	1308	2020-10-08 22:21:19	None	None
US flag burned as Greeks protest Pompeo's visit	12288	1355	2020-09-29 13:18:02	None	None
New Zealand health experts back reform of 'outdated' cannabis laws	11984	360	2020-10-12 01:22:31	None	None
Boris Johnson has ‘zero plans’ to tackle impacts of racism, warns ousted government adviser	11938	717	2020-10-10 23:26:04	None	None
Lukashenko abruptly sworn in, Belarus opposition calls for more protests	11793	344	2020-09-23 17:07:33	None	None
Trudeau and Trump are worlds apart on the Canada-U.S. border closure | CBC News	11479	1141	2020-10-18 17:26:45	None	None
The British government is planning to enforce a total social lockdown across a majority of northern Britain and potentially London, to combat a second wave of COVID-19	11391	1409	2020-09-28 03:14:13	None	None
A rare Halloween Blue Moon will light up the scariest night of the year	11013	313	2020-10-03 11:46:51	None	None
Chinese military beefs up coastal forces as it prepares for possible invasion of Taiwan	11018	2041	2020-10-18 05:23:58	None	None
US spies and diplomats are suggesting a Trump administration cover-up after officials in Cuba, Russia, and China got mysteriously sick	10386	529	2020-10-20 22:31:46	None	None
The Kremlin Is Increasingly Alarmed at the Prospect of a Biden Win	10318	1600	2020-09-26 18:58:01	None	None
In Iowa, Trump praises the intelligence of Kim Jong Un, Vladimir Putin	10250	784	2020-10-15 10:33:50	None	None
Egypt unearths 59 ancient coffins buried more than 2,600 years ago near Saqqara pyramids	10059	478	2020-10-03 21:18:38	None	None
Russia spreads fake news over Oxford virus vaccine (including claims UK Covid Vaccine Will turn you into monkey)	9898	700	2020-10-16 17:27:31	None	None
Defying protest ban, thousands of Israelis demonstrate against Israeli prime minister	9874	360	2020-10-04 01:29:52	None	None
Dinosaur skeleton found by Canadian 12-year-old near Drumheller, Alta., hailed as 'significant discovery	9830	314	2020-10-16 16:00:20	None	None
"""Prostitution Not An Offence; Adult Woman Has Right To Choose Her Vocation"": Bombay High Court Orders Release of 3 Sex Workers From Corrective Institution"	9375	525	2020-09-25 17:47:39	None	None
New Zealand to vote on legalizing marijuana and euthanasia	9259	509	2020-10-16 08:25:04	None	None
Trump says he has ordered the declassification of “any and all” documents related to Russia, Clinton email probes.	9204	1651	2020-10-07 05:12:06	None	None
Canadian opinions of the U.S. at lowest in nearly 40 years, polling program shows	9052	1224	2020-10-15 16:40:29	None	None
Turkish F-16 shoots down Armenian SU-25 in Armenian airspace, pilot killed	9040	954	2020-09-29 18:22:48	None	None
US removes Sudan from terrorism blacklist in return for $335m	9016	977	2020-10-20 00:34:30	None	None
France plans punishment, including jail terms for 'virginity tests'	8906	476	2020-10-06 20:10:58	None	None
Jacinda Ardern eyes historic election win in COVID-free New Zealand	8522	551	2020-10-15 02:44:41	None	None
Brazil surpasses 150k COVID-19 related deaths.	8451	359	2020-10-11 22:14:28	None	None
Universal basic income gains support in South Korea after COVID | The debate on universal basic income has gained momentum in South Korea, as the coronavirus outbreak and the country's growing income divide force a rethink on social safety nets.	8420	722	2020-09-28 14:58:44	None	None
Canada has begun accepting Hong Kong pro-democracy activists as refugees, a sign that this country is opening its doors to those fleeing Beijing’s crackdown on civil rights in the former British colony.	8386	416	2020-10-07 05:39:59	None	None
Pull investments from companies not committed to environment, pope says	8349	289	2020-10-12 16:58:31	None	None
France to expel 231 suspected extremists after attack on teacher	8371	1200	2020-10-18 22:41:59	None	None
Queen’s Speech to include legislation to ban the import of hunting trophies - A new law to ban the import of “trophies” by wild animal hunters is to be included in the UK government’s legislative programme for the coming year.	8251	321	2020-10-04 17:43:13	None	None
Macron calls on Europe to quit dependency on US arms	8205	1001	2020-09-30 19:35:01	None	None
International Council of Nurses Reveal 70% of Nurses Are Facing Violence or Discrimination. Most of the nurses facing burn-out, psychological distress, or abuse.	8196	345	2020-10-10 19:33:36	None	None
North Korean leader Kim Jong Un apologized on Friday for the lethal shooting of a South Korean official, stating that the incident “shouldn’t have happened” and that he’s “sorry to have disappointed” the South.	8197	875	2020-09-25 09:45:38	None	None
American journalist Andre Vltchek found suspiciously dead in his car in Istanbul	8173	384	2020-09-23 18:49:14	None	None
New Zealand's Covid-19 response the best in the world, say global business leaders	8143	577	2020-10-08 13:04:37	None	None
New Zealand records 25 Covid cases amid arrival of foreign fishing crews	8209	672	2020-10-21 15:03:36	None	None
Herd immunity letter signed by fake experts including 'Dr Johnny Bananas' : Open letter calling for new Covid-19 strategy also signed by ‘Prof Cominic Dummings’	7915	452	2020-10-11 02:25:33	None	None
Belarus opposition leader Tichanovskaya provides the regime with an Ultimatum: 13 days until state-wide strike unless opposition demands are met.	7697	239	2020-10-13 16:05:22	None	None
European top court upholds French ban on bee-harming pesticides: The European Court of Justice ruled that France's ban of neonicotinoid pesticides, considered harmful to bees, is legal.	7602	122	2020-10-11 20:29:51	None	None
Russian surfers say mystery ocean pollution is poisoning them and killing animals	7576	361	2020-10-06 16:22:02	None	None
‘Not fit to be PM’: Boris Johnson forced to apologise after failing to explain his own COVID rules - Boris Johnson has been branded “totally incompetent” after he was unable to explain the new local lockdown rules for the north-east of England.	7536	335	2020-09-30 15:36:58	None	None
Canadian government moves to reintroduce bill that bans forced LGBTQ2 conversion therapy.	7512	882	2020-10-02 02:43:23	None	None
Decoy turtle eggs put in nests to track illegal trade in Costa Rica - Quarter of fakes were stolen with some eggs tracked from thief to trafficker to consumer	7456	177	2020-10-05 20:14:11	None	None
40% of the Amazon Rainforest Is at Tipping Point To Becoming Savanna	7342	319	2020-10-09 19:49:33	None	None
A suspected toxic spill in Russia's Far East has killed 95% of marine life on the seabed	7333	317	2020-10-08 08:26:11	None	None
Tax the rich to reduce debt after recovery, IMF says	7241	788	2020-10-13 19:52:08	None	None
China Gives Unproven Covid-19 Vaccines to Thousands, With Risks Unknown	7188	937	2020-09-26 15:56:40	None	None
Nigerian protesters demand the end of an anti-robbery police unit that robs people, they say	7154	177	2020-10-10 16:55:41	None	None
Russia dismisses Trump administration efforts to secure nuclear arms deal before election	7138	477	2020-10-14 02:45:32	None	None
‘Extinction is forever’: World leaders pledge to end biodiversity loss	7116	191	2020-09-28 18:53:00	None	None
Iran clears path for women to run for president	6971	530	2020-10-19 17:56:28	None	None
Monsanto lose case against French farmer	7447	629	2020-10-21 18:41:31	None	None
Top Thai zoo official shot dead while investigating disappearance of a rare albino barking deer. The gunman, also a senior official at the zoo, and long time friend of the victim killed himself after fleeing the scene. Some suspicions that the deer was sold to or stolen by wildlife traffickers.	6656	152	2020-10-04 00:42:18	None	None
"Venezuela calls U.S. ""the greatest threat to world peace"" after being hit by new Iran sanctions, Cuba calls tightening embargo ""wrong policy"" in pushback to Trump's Latin America moves"	6643	1109	2020-09-24 02:12:08	None	None
Thailand blocks Change.org as petition against king gains traction	6642	272	2020-10-16 14:56:25	None	None
Taiwan says won't be intimidated by China's 'hooligan' diplomats	6648	326	2020-10-20 11:05:48	None	None
Former Cambridge Analytica chief receives seven-year directorship ban	6471	222	2020-09-24 22:25:29	None	None
Spanish Supreme Court rules food delivery riders are employees	6463	542	2020-09-24 16:52:43	None	None
Russian opposition leader Navalny says Trump should condemn chemical attack against him	6196	293	2020-10-19 07:17:13	None	None
Belarus allows police to use lethal weapons at mass protests	6178	408	2020-10-12 18:08:20	None	None
Tasmanian devils have been reintroduced into the wild in mainland Australia for the first time in 3,000 years.	6120	259	2020-10-05 14:39:59	None	None
Young Australians are being 'aggressively radicalised' through right-wing extremism, federal police warn	6106	890	2020-10-20 13:25:27	None	None
Belarus opposition leader, Svetlana Tikhanovskaya, issues “people’s ultimatum” to Alexander Lukashenko: “on October 26th, nationwide strikes will begin... you have 13 days”	6076	187	2020-10-19 00:23:00	None	None
Plastic straws to be banned in England from Thursday	5947	488	2020-09-29 23:22:19	None	None
Canada's New Democrats will back Trudeau's government, averting election	5872	629	2020-09-30 05:18:01	None	None
Greta Thunberg and youth climate protests return	5789	782	2020-09-27 08:24:28	None	None
Alexei Navalny mocks Putin after the Russian leader reportedly suggested he poisoned himself with a nerve agent	5794	245	2020-09-23 22:13:19	None	None
