title	score	num_comm	created	content
Sri Lanka Police Anally Torture, Whip Gay Men Suspected of Having Sex, Human Rights Watch Says	41980	2176	2020-10-23 07:22:38	
Pope Francis calls for civil union law for same-sex couples, in shift from Vatican stance	37416	2399	2020-10-21 17:39:05	
US approves $1.8bn weapons sale to Taiwan	27798	2518	2020-10-22 13:44:21	
It is being described as one of the biggest attacks on art and antiquities in post-war German history, but it has taken more than two weeks to emerge. At least 70 artefacts were sprayed with an oily liquid on Berlin's Museum Island, a Unesco world heritage site that is home to five famous museums.	26048	1669	2020-10-21 14:29:17	
Thailand’s playboy king secretly rushed to hospital for 2am Covid test after bodyguard tests positive	24030	932	2020-10-24 06:49:11	
NATO would seek early summit with Biden, if elected, envoys say	21788	1824	2020-10-20 13:37:10	
Canada's bill to outlaw LGBTQ2 conversion therapy has global influence: UN expert	18091	916	2020-10-22 01:26:17	
ISIS attacks surge even as Trump boasts of a ‘100%’ defeated caliphate	17863	932	2020-10-19 03:59:28	
The state of Victoria, Australia went from over 700 new COVID cases per day to recording zero new cases in the last 24hours, thanks to a hard Stage 4 lockdown and mandatory mask-wearing	17218	1364	2020-10-20 06:04:52	
An eyewitness tells BBC that #EndSARS police brutality protesters were kneeling in surrender when security forces fired on them in Lagos, Nigeria. Eyewitness says he counted 20 bodies on the ground after security forces opened fire.	15438	533	2020-10-21 14:30:51	
Climate activist Greta Thunberg joins campaign to release Hong Kong fugitives detained in China	15183	1355	2020-10-19 10:17:01	
80 million gallons of oil, larger than Exxon spill, dangerously close to pouring into Caribbean	12762	686	2020-10-19 10:53:32	
Hundreds of thousands sign petition against using public money for MPs’ food after free school meals vote	13762	474	2020-10-24 23:26:46	
US spies and diplomats are suggesting a Trump administration cover-up after officials in Cuba, Russia, and China got mysteriously sick	10401	529	2020-10-20 22:31:46	
China warns Canada not to damage relations further with ‘lies’ about Uyghur genocide	9694	1045	2020-10-22 20:38:02	
Ongoing Russian Cyberattacks Are Targeting U.S. Election Systems, Feds Say	9195	412	2020-10-23 03:34:37	
Trump admin has known for weeks Iran, Russia hacked local governments	9072	231	2020-10-22 23:45:25	
US removes Sudan from terrorism blacklist in return for $335m	9018	977	2020-10-20 00:34:30	
France to expel 231 suspected extremists after attack on teacher	8373	1200	2020-10-18 22:41:59	
New Zealand records 25 Covid cases amid arrival of foreign fishing crews	8215	672	2020-10-21 15:03:36	
Prince Andrew asked Ghislaine Maxwell about accuser, documents suggest	8006	416	2020-10-23 19:30:47	
Lungs of Earth on fire again as parts of Brazil the size of Britain burn	7525	488	2020-10-22 13:20:27	
Monsanto lose case against French farmer	7451	629	2020-10-21 18:41:31	
The Nigerian Army has arrested a soldier who had gone on social media last week to beg colleagues not to shoot at protesters. This comes after Nigerian Army personnel opened fire on peaceful protesters on October 20th, 2020.	7202	136	2020-10-21 23:27:55	
Alarm as Arctic sea ice not yet freezing at latest date on record	7165	487	2020-10-22 14:39:56	
Iran clears path for women to run for president	6971	530	2020-10-19 17:56:28	
Taiwan says won't be intimidated by China's 'hooligan' diplomats	6654	326	2020-10-20 11:05:48	
Russian opposition leader Navalny says Trump should condemn chemical attack against him	6196	293	2020-10-19 07:17:13	
Young Australians are being 'aggressively radicalised' through right-wing extremism, federal police warn	6106	890	2020-10-20 13:25:27	
Belarus opposition leader, Svetlana Tikhanovskaya, issues “people’s ultimatum” to Alexander Lukashenko: “on October 26th, nationwide strikes will begin... you have 13 days”	6081	187	2020-10-19 00:23:00	
Bolivia’s president Arce vows to ‘rebuild’ country as landslide socialist win confirmed	7089	941	2020-10-24 20:31:44	
Polish court says abortion due to foetal defects is unconstitutional	6004	984	2020-10-22 18:13:22	
Soldiers open fire on protesters in Nigeria’s Lagos as they sing the National anthem and wave flags	5088	150	2020-10-21 03:01:12	
85% of Ontario nursing homes break the law repeatedly with almost no consequences, data analysis shows	4796	158	2020-10-23 21:26:23	
#EndSARS : Nigerian Soldiers shoot into crowd of Youths protesting against Police Brutality in Nigeria's capital	4595	246	2020-10-21 00:08:24	
Ireland to go into Level 5 lockdown (highest level of restrictions) for six weeks	4433	567	2020-10-19 19:57:17	
'It is terrifying': Europe braces for lengthy battle with COVID	4294	727	2020-10-24 05:32:30	
China's super rich got $1.5 trillion richer during pandemic	4266	525	2020-10-20 14:16:13	
Britain the only country to meet the needs of world's poorest during the pandemic, says World Bank	4164	457	2020-10-22 14:37:37	
South Africa Makes Strides and Passes Same-Sex Marriage Law	3861	80	2020-10-24 10:50:20	
Coronavirus survives on skin five times longer than flu, Japan study finds	3724	154	2020-10-19 06:41:41	
Russia grants whistleblower Edward Snowden permanent residency rights	3706	512	2020-10-22 16:30:40	
The Ozone Hole Over Antarctica Has Grown Much Deeper And Wider in 2020	3512	153	2020-10-21 08:04:07	
Sweden bans Huawei and ZTE equipment from use in future 5G network	3491	306	2020-10-20 13:04:41	
NASA to announce 'exciting new discovery' about the moon on Monday	3417	715	2020-10-24 06:17:37	
Canada cracks down on Americans who break coronavirus rules - Those caught breaking Canada's strict coronavirus rules are getting hefty fines.	3382	346	2020-10-19 08:23:58	
North Korea warnings over 'yellow dust coming from China'	3210	351	2020-10-23 15:02:07	
U.S. borders with Canada, Mexico to stay closed to non-essential travel until November 21	2862	273	2020-10-19 19:07:45	
Scientists discover new organ in the throat	2836	333	2020-10-21 15:17:08	
Murdoch's sway on politics warrants royal commission (written by former Australian Prime Minister Kevin Rudd).	2815	158	2020-10-19 00:52:57	
In two weeks, UN records 19 incidents of attacks by Israeli settlers against Palestinian olive harvesters	2881	494	2020-10-24 16:57:55	
‘Catastrophic floods’: 105 killed, 5 million affected in Vietnam	2721	119	2020-10-20 14:48:41	
Astronauts Plug Leak On The International Space Station With The Help Of Floating Tea Leaves	2625	163	2020-10-21 12:27:14	
Polish President Duda infected with coronavirus	2575	176	2020-10-24 10:52:28	
Scotland tells families not to trick-or-treat this Halloween because of Covid-19	3887	358	2020-10-25 01:58:48	
UK government refuses to assist Scottish police investigation into the use of Scottish airports to facilitate US torture and rendition programs	2277	146	2020-10-22 21:42:41	
Beekeeper dumps nest with 1,500 Asian hornets outside town hall in France	2240	249	2020-10-21 20:09:41	
China warns UK not to offer citizenship to Hong Kong residents	2115	522	2020-10-23 14:42:55	
UK to return 5,000 ancient artifacts to Iraq - Included in the repatriation is a 4,000-year-old Sumerian relic discovered in an online auction	2550	406	2020-10-24 22:01:43	
Taiwan official in hospital after alleged 'violent attack' by Chinese diplomats in Fiji	2045	238	2020-10-19 09:52:37	
Ireland may return to full national lockdown for six weeks in 'surprise move'	2018	173	2020-10-19 21:13:29	
North Koreans systematically raped, tortured and degraded in jail, says rights group	1998	182	2020-10-19 15:12:34	
Arctic sea ice isn't freezing in October for the first time on record. Ocean temperatures in the area recently climbed to more than 5C above average, following a record-breaking heatwave and the unusually early decline of last winter’s sea ice.	2402	269	2020-10-24 20:25:24	
Poland abortion ruling: Police use pepper spray against protesters	1960	163	2020-10-23 12:21:21	
Thousand of women protesting against Poland’s new abortion laws in cities across the country	1906	325	2020-10-24 07:11:38	
Germany grants asylum to Hong Kong student arrested for 'rioting,' activist group says	1802	86	2020-10-20 07:01:54	
After thumbing his nose at China, Prague’s mayor has this advice for Canada. ‘Their power is overrated’	2018	359	2020-10-24 19:12:13	
Netanyahu dodges Trump’s invitation to slam Biden on conference call	1766	273	2020-10-23 22:55:54	
‘We will find you. And you will be dealt with’: Canadian Defence Minister Harjit Sajjan warns white supremacists	1740	269	2020-10-23 01:50:08	
Female domestic workers in Qatar face 'kicking and hair-pulling' as employers confiscate passports | The claims of mistreatment are the latest against the Gulf state which will host the 2022 football World Cup	1623	139	2020-10-23 18:04:57	
Video shows Australian SAS soldiers discussing a fellow operator apparently killing a 'compliant' prisoner in Afghanistan	1626	203	2020-10-23 14:39:25	
Canadian professor's website helps Russia spread disinformation, says U.S. State Department	1583	156	2020-10-21 15:37:23	
COVID-19 becomes the 13th deadliest pandemic of all time	1524	303	2020-10-20 22:34:35	
'I never saw stars before': Gene therapy brings back 8-year-old Canadian boy's sight	1463	61	2020-10-19 00:56:01	
Russia suspected of Cold War-style microwave attack on CIA agents in Australia	1447	247	2020-10-21 16:27:52	
Thai street food vendors arrive at anti-government protest venues quicker than protesters & police	1419	74	2020-10-23 17:42:32	
Trump administration set to sign declaration aimed at restricting abortion ‘ Other member states signing declaration include Brazil, Uganda Hungary and Egypt’	1372	289	2020-10-22 12:38:09	
Iranian dissident Mehdi Amin found murdered at his residence in Canada	1317	122	2020-10-23 06:24:34	
Belarus: Thousands turn out for protests despite police threat to open fire	1304	15	2020-10-18 22:49:26	
Aliens on 1,000 nearby stars could see us, new study suggests	1280	443	2020-10-23 22:16:41	
Israel, Sudan reached agreement to sign a peace treaty and to normalize ties	1280	417	2020-10-23 20:00:02	
China's economy in 2021 will be 10% bigger than it was in 2019 and every other major economy will be smaller	1258	639	2020-10-23 08:46:33	
Annual Freezing of Arctic Sea Ice Hasn't Yet Started, 'Unprecedented' Delay Is Puzzling Scientists	1251	174	2020-10-22 20:13:28	
Irish town cuts ties with ‘LGBT-free’ Polish twin in growing culture war	1217	290	2020-10-21 10:40:38	
Finland suspends extraditions to Hong Kong, prompting response from Beijing	1200	44	2020-10-20 13:51:44	
'Boomerang' trend of young adults living with parents is rising	1182	465	2020-10-18 23:18:27	
Japan researchers show masks do block coronavirus, but not perfectly	1175	208	2020-10-22 09:30:30	
Turkey says it will send troops to help Azerbaijan if requested	1098	579	2020-10-21 23:24:31	
Philippine President Rodrigo Duterte says he could be held responsible for the thousands of killings under his anti-drugs crackdown and was ready to face charges	1077	174	2020-10-20 08:23:09	
Artificial intelligence reveals 1.8 billion individual trees in the Sahara. The data suggest that it will soon be possible, with certain limitations, to map the location and size of every tree worldwide.	957	93	2020-10-20 19:01:48	
"Russia says COVID ""under control"" despite record infections, bodies lined up in hospital basement"	928	85	2020-10-23 18:14:36	
Teachers presenting white privilege as fact are breaking the law, minister warns	922	589	2020-10-21 08:17:34	
U.S. sanctions Russian institute linked to dangerous malware	1680	127	2020-10-25 03:57:59	
U.S. says no justification for 'concentration camps' in China	829	490	2020-10-24 04:55:55	
RCMP criticized for inaction after mob violently attacks Mi’kmaq lobster facilities | “Why is it that the law has been broken multiple times and no one is arrested?” said Robert Syliboy, a Sipekne’katik fisherman whose boat was burned in a suspicious fire last week while docked at a wharf	833	187	2020-10-19 00:34:59	
U.S. Whistleblower Edward Snowden Granted Permanent Residency By Russia	802	150	2020-10-22 19:30:00	
Sex-assault case collapses after Edmonton police take 8 years to execute arrest warrant	808	101	2020-10-19 20:49:51	
U.S. Intelligence Accuses Iran and Russia of Interfering in 2020 Election	791	195	2020-10-22 03:46:34	
Thousands protest across Poland against curbs on abortion access	798	69	2020-10-24 01:27:54	
More than 100 dead as Vietnam reels from 'worst floods in decades'	786	28	2020-10-23 05:25:19	
'Slavery is keeping our ports open': Union says seafarers forced to spend up to 18 months on ships	741	66	2020-10-20 16:39:26	
Hospitals struggle as 20 European countries record highest daily number of COVID cases	723	95	2020-10-22 01:53:31	
Research team discovers breakthrough with potential to prevent, reverse Alzheimer's	1992	116	2020-10-25 04:39:37	
Bellingcat: Russian scientists secretly developing Novichok nerve agent, and working with military intelligence	719	49	2020-10-24 07:34:15	
Turkey's press freedom crisis is worsening amid growing state capture of media: Human Rights Watch	699	68	2020-10-19 22:58:46	
NASA makes history with sample of asteroid soil	699	42	2020-10-21 02:22:12	
South Australia Becomes World's First Major Jurisdiction to be Powered 100% by Solar Power	5121	249	2020-10-25 07:19:20	
Mining giant sued over alleged mass lead poisoning of children	686	14	2020-10-21 17:43:56	
A Nasa spacecraft has successfully landed on an asteroid, dodging boulders the size of buildings, in order to collect a handful of cosmic rubble for analysis back on Earth.	658	67	2020-10-21 13:06:17	
World has broken records for daily coronavirus cases several times this week alone	650	93	2020-10-23 20:10:31	
Japan puts off decision to release treated Fukushima water into sea	696	153	2020-10-24 19:34:47	
UK and Japan sign £15.2bn free trade agreement in Tokyo	625	87	2020-10-23 13:45:53	
France recalls envoy after Erdogan says Macron needs 'mental treatment'	1078	413	2020-10-25 02:40:10	
Over 50,000 march in Belarus against authoritarian leader	596	30	2020-10-19 02:02:56	
Belarus Prime Minister claims pro-government rally cancelled because too many people would have shown up	565	40	2020-10-23 23:59:38	
India says Australia will join its naval drills with U.S., Japan	558	101	2020-10-19 17:17:01	
Trump suggests Egypt may 'blow up' Ethiopia dam	566	174	2020-10-24 17:12:04	
Japan set to target zero emissions by 2050 in policy shift	548	92	2020-10-24 04:26:27	
Oxford University says COVID-19 patients experience symptoms months after contracting virus	539	124	2020-10-19 15:19:51	
Polluted air killing half a million babies a year across the globe: Global Air 2020 Report	532	39	2020-10-21 08:22:19	
Russian opposition leader Alexei Navalny says Putin will continue poisoning his enemies	531	37	2020-10-20 03:55:13	
Archaeologists unearth 'huge number' of sealed Egyptian sarcophagi	528	97	2020-10-20 20:41:33	
Finland sees big drop in sick leave after nationwide remote working recommendation	521	88	2020-10-24 11:14:00	
Taiwanese and Chinese Staffers Injured After Fight Between Chinese Diplomats and Taiwanese government employees in Fiji	508	51	2020-10-20 08:13:59	
COVID-19 likely to become 'endemic' like annual flu, says UK Chief Scientist	507	126	2020-10-20 04:14:57	
In ‘Lobster War,’ Indigenous Canadians Face Attacks by Fishermen	480	210	2020-10-21 00:42:29	
Facebook moderators in Dublin reportedly forced to work in office despite lockdown	483	57	2020-10-24 14:08:01	
The Antarctic Ocean Is in Climate Crisis. This Week, the World Could Take a Big Step Towards Protecting Its Future	462	32	2020-10-21 17:02:06	
Greta Thunberg accuses MEPs of 'surrender on climate and environment' | European parliament votes to continue payments to farmers with no green conditions attached	456	63	2020-10-22 16:42:01	
Canadian Forces investigates after mystery man in secret recording claims to be a soldier — and a neo-Nazi	453	42	2020-10-22 22:11:38	
Russia'a Aeroflot Airlines employees involved in a $50 million smuggling scheme	453	27	2020-10-20 12:52:43	
Ireland suspends extradition treaty with Hong Kong	442	13	2020-10-23 18:36:47	
Israeli conscientious objector begins third stint in military prison	443	170	2020-10-22 14:36:30	
Google, Facebook and YouTube found to make up more than 80% of Australian digital advertising, less than 20% going to news and other websites	432	37	2020-10-23 14:17:49	
Europe suffers record case numbers as France's Macron warns crisis may last until summer	438	121	2020-10-24 15:35:14	
Indonesia rejects US request to let spy planes land, avoiding taking sides in US-China tensions	432	63	2020-10-21 11:26:47	
US marine says Australian special forces soldiers made 'deliberate decision to break the rules of war'	420	132	2020-10-21 02:59:47	
UK gives details of new visa offering many Hongkongers pathway to citizenship	414	48	2020-10-23 09:18:36	
Waving flags, they sang Nigeria’s anthem. Then they were shot at	408	8	2020-10-22 01:15:26	
Trash on ocean floor near Taiwan 1.5 times global average: notably greater than that found near Japan, and South Korea	407	31	2020-10-20 20:05:50	
"Ethiopia angered over Trump's suggestion that Egypt couid ""blow up"" it's Nile dam"	439	100	2020-10-24 19:59:41	
Vermont backyard cam captures men sneaking across U.S.-Canada border	398	165	2020-10-20 17:33:00	
France reports record of over 45,000 new coronavirus cases in a day	477	108	2020-10-24 23:36:39	
Up to one million tonnes of ‘deadly’ fishing gear left in ocean each year, WWF warns	392	22	2020-10-20 13:59:00	
'I trusted them with my son': Mother of Indigenous teen who died in Canadian group home speaks out for first time | Ministry of Children and Families says it cannot comment because of the election	383	29	2020-10-23 03:23:59	
Czech PM tells health minister to quit after lockdown violation	367	11	2020-10-23 14:29:06	
Nagorno-Karabakh conflict: ‘Execution’ video prompts war crime probe	396	71	2020-10-24 21:14:04	
Senior London police commander behind force's drugs strategy 'admits using cannabis for medical reasons'	354	36	2020-10-20 19:35:25	
Suga to declare Japan will go carbon neutral by 2050 in policy speech	354	52	2020-10-23 08:19:32	
Revealed: chaining, beatings and torture inside Sudan's Islamic schools	350	41	2020-10-19 10:40:15	
Azeri forces accused of beheading Armenian soldier	344	80	2020-10-19 23:36:03	
Germany: Dresden knife attack likely motivated by Islamic extremism	336	115	2020-10-22 06:40:47	
Veggie Burgers Can Be Called Burgers, European Parliament Says	314	119	2020-10-24 02:09:48	
Soldiers open fire on protesters in Nigeria’s Lagos: Witnesses	314	9	2020-10-21 00:08:37	
All of South Australia's power comes from solar panels in world first for major jurisdiction	619	70	2020-10-25 04:56:07	
Belgium dusts off 1666 charter for post-Brexit fishing rights	309	25	2020-10-22 22:07:47	
Germany reports record 11,000 COVID-19 cases in one day	304	48	2020-10-22 14:50:37	
Third day of protests in Poland following effective abortion ban	731	99	2020-10-25 03:57:59	
French minister associates women-only swimming hours with 'terrorist ideology'	337	231	2020-10-24 20:44:52	
Japan teams up with US, Europe to regulate Big Tech on antitrust	302	5	2020-10-19 17:24:06	
Russia's Putin says world has no future without arms control system	300	80	2020-10-23 02:18:16	
Israeli cop who shot dead autistic Palestinian faces trial. His commander was cleared	277	45	2020-10-21 14:49:07	
France recalls ambassador from Turkey after 'unacceptable' Erdogan comments	326	88	2020-10-24 23:43:35	
Sir David Attenborough polar research ship set to begin sea trials	273	14	2020-10-21 16:58:08	
EU Surpasses U.S. in new COVID cases per capita as nations prepare for winter third wave	273	90	2020-10-24 00:57:01	
U.S. government concludes Iran was behind threatening emails sent to Democrats	262	49	2020-10-22 10:18:49	
Fourteen South Korean delivery workers die because of pandemic overwork: union	259	7	2020-10-22 17:28:12	
Woman is arrested in Iran for 'insulting the Islamic hijab' after she was filmed cycling without a veil in front of a mosque	254	61	2020-10-20 23:22:24	
Bulgaria protests enter 100th day as protesters denounce corruption	252	6	2020-10-19 04:11:24	
The European Union Is Projected To exceed Its Renewable Energy Targets For 2020	252	42	2020-10-21 10:36:12	
OSIRIS-REx spacecraft is ready to snatch samples from the surface of asteroid Bennu tomorrow.	245	8	2020-10-20 01:57:38	
France to expel 231 suspected extremists after attack on teacher	236	45	2020-10-23 02:57:40	
EU says Britain must respect withdrawal pact, deal or no deal	239	74	2020-10-21 13:27:30	
US signs anti-abortion declaration with group of largely authoritarian governments	231	60	2020-10-22 23:28:28	
A Venezuelan vessel carrying 1.3 million barrels of oil is tilting — and it could lead to a catastrophic oil spill	224	34	2020-10-22 19:34:20	
Cyberattacks on coronavirus vaccine projects confirmed in Japan	226	33	2020-10-19 17:25:13	
Bellingcat: Russian scientists secretly developing Novichok nerve agent, and working with military intelligence	224	22	2020-10-24 05:40:43	
Thailand's Prime Minister lifts state of emergency. Protesters give him three days to resign	222	2	2020-10-22 19:15:23	
In Russia, patients of a boarding house for the disabled were forcibly sterilized	220	26	2020-10-20 07:16:02	
French dairy giant accused of polluting country's famous rivers for years	216	6	2020-10-19 23:38:44	
Attackers have opened fire on a private school in Southwest Cameroon, killing at least four children. Local authorities blame Anglophone separatists.	226	11	2020-10-24 20:47:25	
Tens of millions across Europe brace for tough new restrictions as coronavirus cases soar	213	17	2020-10-23 16:53:30	
Xi says China not afraid of war in speech to mark Korean War	209	148	2020-10-23 12:39:31	
Feds say Russia and Iran have interfered with the presidential election	206	44	2020-10-22 04:17:36	
Armenian-Americans have accused Azerbaijan of attempting to revive the 1915 Armenian Genocide as conflicts between the 2 countries persist in Nagorno-Karabakh	202	99	2020-10-24 06:13:49	
France teacher attack: Pupil's father 'exchanged texts with killer'	198	44	2020-10-20 19:26:03	
Wales imposes two-week lockdown: 'everybody must stay at home'	202	21	2020-10-19 17:04:47	
Canadian Police Force signs first of its kind agreement with Human Rights Commission to combat Systemic Racism in policing	198	18	2020-10-21 04:45:39	
Canada adds more than 2,500 new coronavirus cases Friday	263	70	2020-10-25 03:18:00	
Communist Party of Chile calls for replacement of Pinochet's constitution	192	88	2020-10-23 22:30:37	
Taiwan donates US$400,000 to Vietnam for disaster relief	190	12	2020-10-23 21:43:02	
Galapagos Islands | With tour boats moored due to the coronavirus pandemic, the animals are out	193	9	2020-10-18 23:52:01	
79% of volunteers worried about COVID-19 spread at Tokyo Olympics	192	29	2020-10-21 21:01:28	
Armenian president: 'Turkey has a completely destructive role in Nagorno-Karabakh'	189	80	2020-10-19 21:36:27	
London anti-lockdown protests: Thousands of anti-vaxxers march through capital on day one of Tier 2	188	74	2020-10-19 01:28:14	
Iran says U.S.-brokered Sudan-Israel deal secured by 'ransom'	193	81	2020-10-24 17:47:17	
Veggie Burgers Can Be Called Burgers, European Parliament Says	219	36	2020-10-24 22:52:59	
South African environmental activist shot dead in her home | South Africa	188	7	2020-10-24 02:16:20	
France to shut pro-Hamas group after murder; Macron vows action on Islamists	184	20	2020-10-21 00:49:00	
'Uninhabitable hell': Climate change and disease threaten millions, UN warns | The last two decades saw the number of disasters caused by extreme weather nearly double to 6,681, up from 3,656 between 1980 and 1999	184	31	2020-10-20 16:35:36	
Australia to rejoin 'quad' naval exercises in move certain to infuriate Beijing	182	32	2020-10-19 19:56:06	
Poland abortion: Top court to rule on almost total ban	184	46	2020-10-22 16:06:55	
Tory MPs block plan to extend free school meals over holidays	183	32	2020-10-22 03:00:31	
Donors pledge $597m in humanitarian aid for Rohingyas	176	7	2020-10-23 04:50:11	
Italy vetoes 5G deal between Fastweb and China's Huawei: sources	170	3	2020-10-23 20:39:03	
12 million people in Britain will struggle to pay bills, watchdog says	168	18	2020-10-22 09:09:13	
Cuban economy has lost $144 billion due to US trade restriction	169	108	2020-10-24 10:51:17	
Sex abuse royal commission finds Catholic church failed to act against Brisbane brother over abuse complaints	167	5	2020-10-22 16:36:17	
Half of all work tasks will be handled by machines by 2025 in a shift likely to worsen inequality, a World Economic Forum report has forecast.	161	31	2020-10-21 11:30:20	
Danish submarine killer Madsen caught in prison escape	163	30	2020-10-20 15:25:45	
Chinese soldier apprehended by Indian Army in Ladakh	161	26	2020-10-19 13:34:38	
Philippine Duterte supports recognition of same-sex civil union	159	31	2020-10-23 17:14:38	
Coronavirus: Germany improves ventilation to chase away Covid	155	14	2020-10-19 17:51:45	
Worldwide coronavirus cases cross 41.99 million, death toll at 1,140,145	158	53	2020-10-24 08:17:26	
A Dozen Protesters in Nigeria Reported Killed by Security Forces	155	2	2020-10-22 20:29:09	
Tens of thousands march in Belarus despite firearms threat	153	1	2020-10-18 22:40:23	
Canada-U.S. border to remain closed until Nov. 21, at least	147	61	2020-10-19 23:54:21	
Ireland To Impose 6-Week National Lockdown, Estimates 150,000 Job Losses	150	26	2020-10-21 00:43:32	
Satellites are mapping out every tree on earth using AI technology	149	11	2020-10-22 21:12:55	
EU promises ‘significant economic support’ if Belarusian people win	145	28	2020-10-19 00:50:43	
Mouthwashes, oral rinses may inactivate human coronaviruses, study finds	145	57	2020-10-21 01:04:14	
Canada's Trudeau survives latest confidence vote	144	65	2020-10-22 01:43:46	
Suicide bombing at Kabul education centre kills 18	151	45	2020-10-24 23:46:51	
Czech Health Minister photographed without a face mask outside Prague restaurant, faces calls to resign	135	20	2020-10-23 14:57:54	
Unrest flares again in Lagos after civilians fired on in anti-police demonstrations	136	1	2020-10-21 23:08:31	
French President: ‘Immediate action’ on Isllamic terroriism	139	79	2020-10-19 18:12:43	
Canada breaks record for number of new COVID-19 cases in a single day	139	56	2020-10-23 10:38:33	
China threatens retaliation after new U.S. arms sales to Taiwan	136	34	2020-10-22 17:43:39	
China approves new law to protect whistleblowers and prevent epidemics	138	42	2020-10-18 21:14:47	
U.S. warns of potential terrorist attacks, kidnap plots targeting Americans and other foreigners in Istanbul	134	21	2020-10-24 07:35:48	
"China to US, ""Stop making China an issue in the election"""	135	103	2020-10-24 00:30:36	
India-China dispute: India hands over soldier who crossed border.	134	28	2020-10-21 11:40:23	
Nokia selected by NASA to build the first cellular network on the moon as the U.S. space agency plans for future lunar settlements. The network will give astronauts voice and video communications capabilities, allow data exchange, as well as control of lunar rovers and other robotic devices.	135	38	2020-10-20 19:51:47	
Coronavirus: No new cases of COVID-19 in New Zealand	230	30	2020-10-25 04:21:30	
The women who brought down Greece's Golden Dawn	136	11	2020-10-23 13:54:36	
Melting glaciers threaten catastrophic consequences for humanity	132	16	2020-10-19 09:03:52	
Refugees allege physical, sexual abuse by Croatian authorities	162	8	2020-10-25 02:01:30	
Ex-Burundi president gets prison term for 1993 killing of victorious election opponent -- The attack triggered a 10-year civil war in which about 300,000 people were killed.	129	5	2020-10-21 01:08:12	
Swelled by rain and COVID curbs, locust swarms ravage Ethiopia	131	9	2020-10-20 14:46:03	
Brexit: Drugs industry appeals to Boris Johnson for urgent action to avoid no-deal medicine shortages	129	27	2020-10-19 13:43:52	
DNA analysis to determine genetic impact of Japan's atomic bomb victims	133	40	2020-10-24 11:21:44	
OPEC Is On The Brink Of A Crisis due to low oil prices	124	25	2020-10-20 05:08:23	
Poland’s President Duda tests positive for coronavirus	125	10	2020-10-24 12:24:59	
Anti-Corruption Police Nabbed Brazilian Politician With $6077 Stuffed In His Underpants	120	8	2020-10-23 16:07:48	
Protests in Poland due to strict abortion ban	127	3	2020-10-23 01:59:51	
Covid-19: 'Major outbreak' at Christchurch (NZ) isolation facility housing dozens of international fishermen	125	17	2020-10-20 06:52:44	
Armed militia groups control more than half the territory of Rio de Janeiro, installing a reign of terror in poor neighborhoods that are home to nearly 2.2 million people, according to a study published Monday	123	9	2020-10-20 02:00:41	
100,000+ Humans Displaced By Historic Vietnam Flooding	121	5	2020-10-21 19:34:46	
Russia’s COVID-19 Deaths Could Be The Worst In Europe, Death Numbers Need to be Tripled, Ex-State Demographer Warns	122	19	2020-10-21 00:58:23	
Archaeologists find huge 2,000-year-old cat image carved into Peru hillside	121	15	2020-10-20 01:47:15	
"Nearly One Year After 2019 'Right-Wing Coup,' Bolivians Head to the Polls for National Elections. ""It is very important that each and every one of us calmly wait for each and every vote to be counted,"" said Evo Morales, the nation's ousted democratically-elected leader, from exile in Argentina."	120	10	2020-10-18 20:50:41	
Attackers storm Cameroon school, kill several children	150	34	2020-10-25 02:58:05	
